Discovered 96 target layers (in_proj_a + in_proj_b) across shards
Processing 13 shards ...
  model-00002-of-00013.safetensors: dequantized model.language_model.layers.0.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00002-of-00013.safetensors: dequantized model.language_model.layers.0.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00002-of-00013.safetensors: dequantized model.language_model.layers.1.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00002-of-00013.safetensors: dequantized model.language_model.layers.1.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00002-of-00013.safetensors: dequantized model.language_model.layers.10.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00002-of-00013.safetensors: dequantized model.language_model.layers.10.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00003-of-00013.safetensors: dequantized model.language_model.layers.12.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00003-of-00013.safetensors: dequantized model.language_model.layers.12.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00003-of-00013.safetensors: dequantized model.language_model.layers.13.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00003-of-00013.safetensors: dequantized model.language_model.layers.13.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00003-of-00013.safetensors: dequantized model.language_model.layers.14.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00003-of-00013.safetensors: dequantized model.language_model.layers.14.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00003-of-00013.safetensors: dequantized model.language_model.layers.16.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00003-of-00013.safetensors: dequantized model.language_model.layers.16.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00003-of-00013.safetensors: dequantized model.language_model.layers.17.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00003-of-00013.safetensors: dequantized model.language_model.layers.17.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00004-of-00013.safetensors: dequantized model.language_model.layers.18.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00004-of-00013.safetensors: dequantized model.language_model.layers.18.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00004-of-00013.safetensors: dequantized model.language_model.layers.2.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00004-of-00013.safetensors: dequantized model.language_model.layers.2.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00004-of-00013.safetensors: dequantized model.language_model.layers.20.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00004-of-00013.safetensors: dequantized model.language_model.layers.20.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00004-of-00013.safetensors: dequantized model.language_model.layers.21.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00004-of-00013.safetensors: dequantized model.language_model.layers.21.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00004-of-00013.safetensors: dequantized model.language_model.layers.22.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00004-of-00013.safetensors: dequantized model.language_model.layers.22.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00005-of-00013.safetensors: dequantized model.language_model.layers.24.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00005-of-00013.safetensors: dequantized model.language_model.layers.24.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00005-of-00013.safetensors: dequantized model.language_model.layers.25.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00005-of-00013.safetensors: dequantized model.language_model.layers.25.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00005-of-00013.safetensors: dequantized model.language_model.layers.26.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00005-of-00013.safetensors: dequantized model.language_model.layers.26.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00005-of-00013.safetensors: dequantized model.language_model.layers.28.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00005-of-00013.safetensors: dequantized model.language_model.layers.28.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00005-of-00013.safetensors: dequantized model.language_model.layers.29.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00005-of-00013.safetensors: dequantized model.language_model.layers.29.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00006-of-00013.safetensors: dequantized model.language_model.layers.30.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00006-of-00013.safetensors: dequantized model.language_model.layers.30.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00006-of-00013.safetensors: dequantized model.language_model.layers.32.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00006-of-00013.safetensors: dequantized model.language_model.layers.32.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00006-of-00013.safetensors: dequantized model.language_model.layers.33.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00006-of-00013.safetensors: dequantized model.language_model.layers.33.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
  model-00006-of-00013.safetensors: dequantized model.language_model.layers.34.linear_attn.in_proj_a -> (48, 5120) torch.bfloat16
  model-00006-of-00013.safetensors: dequantized model.language_model.layers.34.linear_attn.in_proj_b -> (48, 5120) torch.bfloat16
